Player,standard | Nation,standard | Pos,standard | Squad,standard | Age,standard | Born,standard_Playing Time | MP,standard_Playing Time | Starts,standard_Playing Time | Min,standard_Performance | Gls,standard_Performance | Ast,standard_Performance | CrdY,standard_Performance | CrdR,standard_Expected | xG,standard_Expected | xAG,standard_Progression | PrgC,standard_Progression | PrgP,standard_Progression | PrgR,standard_Per 90 Minutes | Gls,standard_Per 90 Minutes | Ast,standard_Per 90 Minutes | xG,standard_Per 90 Minutes | xAG,keepers_Performance | GA90,keepers_Performance | Save%,keepers_Performance | CS%,keepers_Penalty Kicks | Save%,shooting_Standard | SoT%,shooting_Standard | SoT/90,shooting_Standard | G/Sh,shooting_Standard | Dist,passing_Total | Cmp,passing_Total | Cmp%,passing_Total | TotDist,passing_Short | Cmp%,passing_Medium | Cmp%,passing_Long | Cmp%,passing | KP,passing | 1/3,passing | PPA,passing | CrsPA,passing | PrgP,gca_SCA | SCA,gca_SCA | SCA90,gca_GCA | GCA,gca_GCA | GCA90,defense_Tackles | Tkl,defense_Tackles | TklW,defense_Challenges | Att,defense_Challenges | Lost,defense_Blocks | Blocks,defense_Blocks | Sh,defense_Blocks | Pass,defense | Int,possession_Touches | Touches,possession_Touches | Def Pen,possession_Touches | Def 3rd,possession_Touches | Mid 3rd,possession_Touches | Att 3rd,possession_Touches | Att Pen,possession_Take-Ons | Att,possession_Take-Ons | Succ%,possession_Take-Ons | Tkld%,possession_Carries | Carries,possession_Carries | PrgDist,possession_Carries | PrgC,possession_Carries | 1/3,possession_Carries | CPA,possession_Carries | Mis,possession_Carries | Dis,possession_Receiving | Rec,possession_Receiving | PrgR,misc_Performance | Fls,misc_Performance | Fld,misc_Performance | Off,misc_Performance | Crs,misc_Performance | Recov,misc_Aerial Duels | Won,misc_Aerial Duels | Lost,misc_Aerial Duels | Won%
Aaron Cresswell,eng ENG,DF,West Ham,35.0,1989.0,14.0,7.0,589.0,0.0,0.0,2.0,0.0,0.1,1.1,4.0,24.0,2.0,0.0,0.0,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,355.0,80.7,6769.0,90.8,85.9,54.9,7.0,40.0,4.0,1.0,24.0,12.0,1.83,0.0,0.0,8.0,4.0,8.0,2.0,7.0,4.0,3.0,6.0,495.0,33.0,196.0,236.0,68.0,1.0,1.0,100.0,0.0,200.0,388.0,4.0,7.0,0.0,3.0,0.0,312.0,2.0,3.0,1.0,0.0,27.0,21.0,7.0,6.0,53.8
Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998.0,26.0,26.0,2340.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,0.0,0.0,0.0,0.0,691.0,64.4,19407.0,99.5,95.9,38.7,0.0,32.0,1.0,0.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1154.0,835.0,1132.0,25.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,701.0,2092.0,0.0,0.0,0.0,2.0,0.0,628.0,0.0,1.0,4.0,0.0,0.0,19.0,5.0,0.0,100.0
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27.0,1997.0,32.0,31.0,2794.0,2.0,2.0,1.0,0.0,1.2,2.9,98.0,125.0,139.0,0.06,0.06,0.04,0.09,0.0,0.0,0.0,0.0,33.3,0.16,0.13,15.3,1277.0,81.1,18273.0,90.0,82.0,47.4,29.0,89.0,30.0,11.0,125.0,83.0,2.67,7.0,0.23,61.0,43.0,26.0,7.0,31.0,9.0,22.0,59.0,1960.0,136.0,620.0,838.0,531.0,40.0,101.0,53.5,34.7,933.0,3303.0,98.0,57.0,12.0,28.0,21.0,1135.0,139.0,22.0,24.0,4.0,64.0,155.0,22.0,29.0,43.1
Abdoulaye Doucouré,ml MLI,MF,Everton,32.0,1993.0,30.0,29.0,2425.0,3.0,1.0,5.0,1.0,3.9,2.3,40.0,78.0,91.0,0.11,0.04,0.14,0.09,0.0,0.0,0.0,0.0,31.0,0.33,0.1,13.8,676.0,79.6,10229.0,85.1,83.1,72.7,26.0,44.0,14.0,0.0,78.0,54.0,2.0,2.0,0.07,45.0,27.0,39.0,26.0,30.0,6.0,24.0,9.0,1090.0,31.0,218.0,502.0,385.0,59.0,43.0,53.5,46.5,571.0,1339.0,40.0,24.0,8.0,33.0,35.0,705.0,91.0,46.0,5.0,10.0,23.0,139.0,29.0,43.0,40.3
Abdukodir Khusanov,uz UZB,DF,Manchester City,21.0,2004.0,6.0,6.0,503.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,360.0,91.1,6126.0,94.7,97.0,26.1,2.0,23.0,0.0,0.0,25.0,5.0,0.89,0.0,0.0,5.0,4.0,3.0,1.0,5.0,4.0,1.0,3.0,445.0,45.0,205.0,211.0,31.0,1.0,2.0,0.0,100.0,274.0,435.0,1.0,1.0,0.0,2.0,1.0,332.0,2.0,3.0,3.0,0.0,1.0,27.0,6.0,4.0,60.0
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21.0,2004.0,11.0,6.0,579.0,0.0,2.0,0.0,0.0,0.4,1.6,42.0,17.0,60.0,0.0,0.31,0.06,0.24,0.0,0.0,0.0,0.0,38.5,0.78,0.0,31.2,123.0,62.4,2150.0,72.8,76.3,48.5,6.0,7.0,7.0,2.0,17.0,17.0,2.64,3.0,0.47,21.0,15.0,19.0,8.0,7.0,0.0,7.0,4.0,326.0,19.0,73.0,114.0,157.0,26.0,69.0,42.0,40.6,217.0,1055.0,42.0,24.0,15.0,18.0,12.0,216.0,60.0,11.0,20.0,2.0,30.0,38.0,14.0,13.0,51.9
Adam Armstrong,eng ENG,"FW,MF",Southampton,28.0,1997.0,20.0,15.0,1248.0,2.0,2.0,4.0,0.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,0.0,0.0,0.0,0.0,28.0,0.5,0.08,16.6,231.0,80.2,3320.0,87.3,85.3,46.2,9.0,10.0,8.0,2.0,21.0,19.0,1.37,4.0,0.29,12.0,3.0,14.0,11.0,6.0,1.0,5.0,3.0,377.0,11.0,44.0,143.0,192.0,49.0,14.0,42.9,57.1,235.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,12.0,5.0,9.0,14.0,23.0,5.0,9.0,35.7
Adam Lallana,eng ENG,MF,Southampton,36.0,1988.0,14.0,5.0,361.0,0.0,2.0,4.0,0.0,0.2,0.9,6.0,24.0,10.0,0.0,0.5,0.04,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,221.0,85.0,2891.0,89.1,91.0,44.4,4.0,21.0,9.0,3.0,24.0,9.0,2.24,2.0,0.5,8.0,5.0,12.0,10.0,4.0,1.0,3.0,5.0,318.0,19.0,91.0,155.0,73.0,6.0,12.0,41.7,41.7,178.0,366.0,6.0,8.0,0.0,10.0,6.0,245.0,10.0,8.0,8.0,0.0,4.0,19.0,2.0,2.0,50.0
Adam Smith,eng ENG,DF,Bournemouth,34.0,1991.0,22.0,17.0,1409.0,0.0,0.0,6.0,0.0,0.7,0.3,12.0,40.0,31.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,436.0,75.7,7088.0,88.0,78.1,37.5,7.0,41.0,8.0,5.0,40.0,20.0,1.28,2.0,0.13,21.0,10.0,25.0,13.0,12.0,5.0,7.0,14.0,707.0,39.0,217.0,332.0,162.0,6.0,15.0,40.0,40.0,305.0,585.0,12.0,15.0,0.0,10.0,6.0,333.0,31.0,15.0,11.0,0.0,30.0,43.0,12.0,13.0,48.0
Adam Webster,eng ENG,DF,Brighton,30.0,1995.0,11.0,8.0,617.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,100.0,0.15,0.0,15.3,429.0,85.6,7934.0,95.5,91.8,50.6,3.0,32.0,2.0,0.0,40.0,10.0,1.46,3.0,0.44,8.0,5.0,11.0,6.0,12.0,9.0,3.0,14.0,569.0,84.0,279.0,271.0,22.0,8.0,3.0,33.3,66.7,326.0,1142.0,7.0,2.0,0.0,3.0,1.0,384.0,2.0,5.0,2.0,1.0,1.0,20.0,17.0,4.0,81.0
Adam Wharton,eng ENG,MF,Crystal Palace,20.0,2004.0,19.0,15.0,1258.0,0.0,2.0,2.0,0.0,0.3,3.0,14.0,105.0,10.0,0.0,0.14,0.02,0.21,0.0,0.0,0.0,0.0,41.7,0.36,0.0,25.8,521.0,75.6,9826.0,82.1,80.6,65.0,25.0,73.0,18.0,5.0,105.0,56.0,4.01,6.0,0.43,34.0,14.0,43.0,26.0,10.0,2.0,8.0,18.0,827.0,27.0,196.0,439.0,198.0,10.0,10.0,20.0,80.0,413.0,1021.0,14.0,22.0,2.0,14.0,13.0,509.0,10.0,12.0,21.0,0.0,35.0,96.0,7.0,16.0,30.4
Adama Traoré,es ESP,"FW,MF",Fulham,29.0,1996.0,32.0,16.0,1568.0,2.0,6.0,2.0,0.0,3.8,4.7,87.0,61.0,143.0,0.11,0.34,0.22,0.27,0.0,0.0,0.0,0.0,30.6,0.63,0.06,14.4,383.0,72.0,5972.0,81.2,73.4,55.3,37.0,32.0,32.0,17.0,61.0,73.0,4.19,9.0,0.52,17.0,12.0,13.0,8.0,7.0,0.0,7.0,1.0,725.0,4.0,74.0,258.0,415.0,86.0,88.0,50.0,37.5,483.0,2232.0,87.0,42.0,33.0,32.0,19.0,548.0,143.0,20.0,29.0,1.0,90.0,78.0,24.0,25.0,49.0
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23.0,2001.0,4.0,2.0,143.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,3.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,13.0,72.2,135.0,81.8,50.0,54.38905263157895,1.0,2.0,0.0,0.0,1.0,2.0,1.26,0.0,0.0,4.0,1.0,10.0,7.0,1.0,1.0,0.0,0.0,38.0,2.0,9.0,14.0,15.0,2.0,4.0,0.0,100.0,18.0,15.0,1.0,0.0,1.0,5.0,4.0,21.0,3.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,100.0
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20.0,2004.0,33.0,22.0,2056.0,5.0,1.0,2.0,0.0,7.0,3.6,134.0,54.0,274.0,0.22,0.04,0.31,0.16,0.0,0.0,0.0,0.0,34.6,1.23,0.06,17.1,600.0,79.1,8376.0,89.0,82.9,57.4,30.0,20.0,22.0,3.0,54.0,74.0,3.24,4.0,0.18,28.0,18.0,34.0,23.0,19.0,0.0,19.0,13.0,1078.0,13.0,120.0,340.0,636.0,164.0,85.0,30.6,60.0,783.0,3035.0,134.0,70.0,65.0,61.0,47.0,829.0,274.0,11.0,40.0,10.0,50.0,103.0,3.0,23.0,11.5
Alex Iwobi,ng NGA,"FW,MF",Fulham,28.0,1996.0,34.0,32.0,2721.0,9.0,6.0,1.0,0.0,4.5,6.5,132.0,196.0,221.0,0.3,0.2,0.15,0.22,0.0,0.0,0.0,0.0,44.3,0.89,0.15,18.3,1037.0,74.4,17737.0,85.8,77.5,54.2,53.0,106.0,77.0,16.0,196.0,112.0,3.7,16.0,0.53,37.0,21.0,28.0,11.0,25.0,1.0,24.0,11.0,1693.0,31.0,225.0,678.0,815.0,107.0,86.0,48.8,45.3,1200.0,4024.0,132.0,99.0,37.0,54.0,38.0,1321.0,221.0,17.0,16.0,4.0,118.0,124.0,5.0,31.0,13.9
Alex McCarthy,eng ENG,GK,Southampton,35.0,1989.0,5.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,0.0,0.0,0.0,0.0,0.0,117.0,75.0,2823.0,95.3,91.8,49.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,100.0,276.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,100.0
Alex Palmer,eng ENG,GK,Ipswich Town,28.0,1996.0,10.0,10.0,900.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,65.5,6495.0,95.3,100.0,43.1,1.0,6.0,0.0,0.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,301.0,353.0,7.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,157.0,538.0,0.0,0.0,0.0,1.0,0.0,112.0,0.0,1.0,2.0,0.0,0.0,14.0,3.0,0.0,100.0
Alex Scott,eng ENG,MF,Bournemouth,21.0,2003.0,17.0,7.0,683.0,0.0,0.0,2.0,0.0,0.7,0.8,14.0,48.0,32.0,0.0,0.0,0.09,0.11,0.0,0.0,0.0,0.0,38.5,0.66,0.0,20.0,252.0,82.9,4041.0,88.7,91.5,59.4,10.0,37.0,4.0,0.0,48.0,27.0,3.55,2.0,0.26,25.0,12.0,38.0,21.0,15.0,3.0,12.0,10.0,437.0,21.0,78.0,237.0,127.0,17.0,25.0,20.0,52.0,232.0,586.0,14.0,8.0,2.0,22.0,8.0,262.0,32.0,10.0,26.0,0.0,5.0,49.0,6.0,7.0,46.2
Alexander Isak,se SWE,FW,Newcastle Utd,25.0,1999.0,31.0,31.0,2487.0,22.0,6.0,1.0,0.0,19.0,4.0,77.0,77.0,196.0,0.8,0.22,0.69,0.15,0.0,0.0,0.0,0.0,42.5,1.34,0.22,14.5,459.0,74.0,6537.0,83.2,77.5,62.2,38.0,32.0,26.0,1.0,77.0,85.0,3.08,14.0,0.51,12.0,5.0,12.0,7.0,18.0,2.0,16.0,3.0,933.0,20.0,54.0,348.0,545.0,175.0,88.0,47.7,50.0,558.0,1723.0,77.0,40.0,43.0,62.0,50.0,659.0,196.0,25.0,13.0,20.0,15.0,54.0,25.0,48.0,34.2
Alexis Mac Allister,ar ARG,MF,Liverpool,26.0,1998.0,33.0,30.0,2553.0,5.0,4.0,6.0,0.0,2.8,4.4,34.0,170.0,78.0,0.18,0.14,0.1,0.16,0.0,0.0,0.0,0.0,34.2,0.46,0.13,18.1,1245.0,83.4,19843.0,90.1,88.3,55.2,43.0,118.0,34.0,2.0,170.0,118.0,4.16,14.0,0.49,95.0,58.0,101.0,46.0,60.0,6.0,54.0,22.0,1827.0,55.0,279.0,944.0,624.0,60.0,42.0,38.1,50.0,893.0,1924.0,34.0,41.0,5.0,31.0,22.0,1203.0,78.0,60.0,39.0,2.0,84.0,145.0,19.0,34.0,35.8
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23.0,2002.0,11.0,0.0,134.0,0.0,0.0,3.0,0.0,0.4,0.1,4.0,3.0,14.0,0.0,0.0,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,25.0,83.3,278.0,87.0,71.4,54.38905263157895,2.0,0.0,0.0,0.0,3.0,8.0,5.37,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,53.0,2.0,6.0,20.0,30.0,9.0,7.0,57.1,42.9,29.0,111.0,4.0,3.0,4.0,7.0,4.0,36.0,14.0,8.0,3.0,1.0,0.0,4.0,5.0,9.0,35.7
Alisson,br BRA,GK,Liverpool,32.0,1992.0,24.0,24.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.84,71.8,37.5,0.0,0.0,0.0,0.0,0.0,630.0,83.1,13996.0,98.9,98.5,47.8,1.0,10.0,0.0,0.0,0.0,6.0,0.25,1.0,0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,801.0,577.0,786.0,15.0,0.0,0.0,1.0,100.0,0.0,509.0,1152.0,0.0,0.0,0.0,1.0,0.0,485.0,0.0,0.0,2.0,0.0,0.0,41.0,6.0,0.0,100.0
Alphonse Areola,fr FRA,GK,West Ham,32.0,1993.0,23.0,22.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,63.1,18.2,0.0,0.0,0.0,0.0,0.0,615.0,70.4,16400.0,99.3,95.2,43.4,0.0,9.0,0.0,0.0,0.0,3.0,0.14,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,927.0,740.0,918.0,10.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,530.0,1174.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,100.0
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22.0,2002.0,22.0,17.0,1594.0,6.0,6.0,3.0,0.0,4.1,3.9,92.0,53.0,159.0,0.34,0.34,0.23,0.22,0.0,0.0,0.0,0.0,32.5,0.73,0.15,17.7,658.0,82.9,9051.0,90.4,85.3,52.4,39.0,25.0,29.0,5.0,53.0,80.0,4.52,16.0,0.9,33.0,26.0,26.0,11.0,10.0,0.0,10.0,11.0,1012.0,13.0,150.0,374.0,504.0,109.0,72.0,50.0,44.4,656.0,2294.0,92.0,46.0,52.0,35.0,32.0,714.0,159.0,19.0,23.0,9.0,38.0,93.0,9.0,15.0,37.5
Amadou Onana,be BEL,MF,Aston Villa,23.0,2001.0,22.0,17.0,1348.0,3.0,0.0,4.0,0.0,2.1,0.3,20.0,58.0,13.0,0.2,0.0,0.14,0.02,0.0,0.0,0.0,0.0,35.3,0.4,0.18,14.7,589.0,88.4,9251.0,94.4,89.9,71.4,7.0,52.0,8.0,1.0,58.0,25.0,1.67,4.0,0.27,46.0,24.0,24.0,10.0,14.0,6.0,8.0,24.0,836.0,60.0,227.0,490.0,132.0,20.0,17.0,64.7,17.6,459.0,1237.0,20.0,20.0,1.0,10.0,9.0,563.0,13.0,30.0,23.0,0.0,1.0,64.0,25.0,18.0,58.1
Andreas Pereira,br BRA,MF,Fulham,29.0,1996.0,31.0,23.0,1879.0,2.0,4.0,7.0,0.0,3.5,4.5,27.0,99.0,78.0,0.1,0.19,0.17,0.21,0.0,0.0,0.0,0.0,22.9,0.38,0.06,22.1,641.0,68.9,11658.0,83.6,78.3,41.0,56.0,64.0,19.0,4.0,99.0,101.0,4.84,8.0,0.38,22.0,12.0,40.0,30.0,16.0,2.0,14.0,8.0,1096.0,17.0,156.0,446.0,511.0,39.0,29.0,44.8,27.6,556.0,1266.0,27.0,35.0,8.0,26.0,21.0,648.0,78.0,27.0,23.0,1.0,168.0,97.0,12.0,21.0,36.4
Andrew Robertson,sct SCO,DF,Liverpool,31.0,1994.0,31.0,27.0,2308.0,0.0,0.0,3.0,1.0,1.0,4.1,58.0,165.0,95.0,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,15.4,0.08,0.0,14.5,1456.0,83.0,24521.0,94.1,86.8,46.8,38.0,144.0,28.0,16.0,165.0,75.0,2.92,3.0,0.12,38.0,22.0,47.0,17.0,9.0,4.0,5.0,20.0,1947.0,86.0,500.0,882.0,578.0,50.0,18.0,38.9,55.6,1028.0,2588.0,58.0,48.0,6.0,25.0,11.0,1302.0,95.0,11.0,8.0,2.0,136.0,91.0,6.0,12.0,33.3
André,br BRA,MF,Wolves,23.0,2001.0,29.0,27.0,2170.0,0.0,0.0,7.0,0.0,0.4,0.7,8.0,92.0,11.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,12.5,0.04,0.0,25.8,1074.0,92.7,16897.0,95.3,95.2,79.3,14.0,97.0,4.0,0.0,92.0,43.0,1.78,3.0,0.12,76.0,46.0,56.0,24.0,40.0,8.0,32.0,32.0,1402.0,80.0,380.0,905.0,131.0,3.0,26.0,50.0,34.6,768.0,1386.0,8.0,14.0,0.0,27.0,17.0,941.0,11.0,34.0,32.0,0.0,0.0,172.0,2.0,6.0,25.0
André Onana,cm CMR,GK,Manchester Utd,29.0,1996.0,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.3,69.0,27.3,25.0,0.0,0.0,0.0,0.0,920.0,73.1,21868.0,99.1,99.0,36.3,1.0,24.0,0.0,0.0,1.0,4.0,0.12,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1323.0,1005.0,1302.0,22.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,932.0,2615.0,0.0,0.0,0.0,1.0,0.0,810.0,0.0,0.0,2.0,0.0,0.0,33.0,6.0,0.0,100.0
Andrés García,es ESP,"DF,MF",Aston Villa,22.0,2003.0,7.0,5.0,318.0,0.0,0.0,0.0,0.0,0.0,0.2,26.0,15.0,28.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,174.0,86.6,2725.0,92.7,90.2,53.8,3.0,9.0,8.0,5.0,15.0,3.0,0.85,0.0,0.0,9.0,5.0,8.0,4.0,2.0,0.0,2.0,2.0,256.0,8.0,38.0,108.0,112.0,2.0,18.0,27.8,66.7,159.0,673.0,26.0,13.0,2.0,10.0,6.0,168.0,28.0,1.0,0.0,0.0,18.0,15.0,0.0,6.0,0.0
Andy Irving,sct SCO,MF,West Ham,24.0,2000.0,10.0,1.0,166.0,0.0,0.0,2.0,0.0,0.1,0.2,0.0,9.0,4.0,0.0,0.0,0.06,0.13,0.0,0.0,0.0,0.0,50.0,1.08,0.0,26.2,109.0,87.9,1705.0,95.3,83.7,100.0,1.0,14.0,1.0,1.0,9.0,5.0,2.68,0.0,0.0,7.0,4.0,5.0,4.0,5.0,1.0,4.0,1.0,150.0,7.0,37.0,89.0,24.0,0.0,1.0,100.0,0.0,73.0,137.0,0.0,1.0,0.0,1.0,3.0,104.0,4.0,6.0,1.0,0.0,2.0,10.0,1.0,1.0,50.0
Anthony Elanga,se SWE,FW,Nott'ham Forest,23.0,2002.0,33.0,26.0,2052.0,6.0,9.0,1.0,0.0,3.9,4.4,79.0,47.0,164.0,0.26,0.39,0.17,0.19,0.0,0.0,0.0,0.0,45.7,0.7,0.17,16.8,426.0,65.3,6133.0,84.1,63.2,34.3,40.0,26.0,23.0,7.0,47.0,82.0,3.6,14.0,0.61,17.0,12.0,16.0,12.0,9.0,1.0,8.0,5.0,900.0,29.0,124.0,259.0,533.0,86.0,73.0,30.1,46.6,468.0,2071.0,79.0,41.0,36.0,65.0,35.0,592.0,164.0,7.0,32.0,13.0,142.0,79.0,22.0,33.0,40.0
Anthony Gordon,eng ENG,FW,Newcastle Utd,24.0,2001.0,30.0,25.0,2200.0,6.0,5.0,2.0,0.0,8.0,4.9,109.0,92.0,194.0,0.25,0.2,0.33,0.2,0.0,0.0,0.0,0.0,29.1,0.65,0.09,16.6,661.0,73.1,10125.0,86.1,77.7,42.2,50.0,59.0,50.0,16.0,92.0,98.0,4.01,12.0,0.49,31.0,17.0,34.0,22.0,24.0,2.0,22.0,6.0,1165.0,16.0,115.0,439.0,630.0,123.0,96.0,36.5,46.9,748.0,2978.0,109.0,55.0,55.0,28.0,35.0,838.0,194.0,19.0,62.0,8.0,120.0,92.0,5.0,7.0,41.7
Antoine Semenyo,gh GHA,FW,Bournemouth,25.0,2000.0,33.0,33.0,2907.0,9.0,4.0,9.0,0.0,9.3,5.7,132.0,106.0,259.0,0.28,0.12,0.29,0.18,0.0,0.0,0.0,0.0,31.4,1.15,0.08,17.2,728.0,73.3,10406.0,84.9,76.6,37.8,44.0,48.0,44.0,8.0,106.0,122.0,3.78,12.0,0.37,53.0,34.0,42.0,26.0,59.0,8.0,51.0,10.0,1485.0,44.0,181.0,520.0,817.0,176.0,123.0,52.0,40.7,898.0,3357.0,132.0,64.0,64.0,78.0,71.0,1032.0,259.0,65.0,36.0,14.0,52.0,147.0,60.0,72.0,45.5
Antonee Robinson,us USA,DF,Fulham,27.0,1997.0,33.0,32.0,2899.0,0.0,10.0,8.0,0.0,0.7,4.1,110.0,120.0,257.0,0.0,0.31,0.02,0.13,0.0,0.0,0.0,0.0,12.5,0.06,0.0,22.1,1482.0,76.5,25356.0,86.5,78.9,56.6,41.0,109.0,50.0,26.0,120.0,74.0,2.3,11.0,0.34,84.0,56.0,86.0,43.0,36.0,6.0,30.0,56.0,2339.0,121.0,741.0,893.0,739.0,65.0,75.0,44.0,41.3,1252.0,3937.0,110.0,59.0,29.0,40.0,18.0,1402.0,257.0,30.0,17.0,6.0,158.0,142.0,45.0,25.0,64.3
Antony,br BRA,"DF,MF",Manchester Utd,25.0,2000.0,8.0,0.0,141.0,0.0,0.0,0.0,0.0,1.0,0.1,5.0,6.0,7.0,0.0,0.0,0.65,0.08,0.0,0.0,0.0,0.0,50.0,1.91,0.0,15.8,56.0,81.2,688.0,88.2,64.3,100.0,3.0,1.0,5.0,2.0,6.0,8.0,5.11,0.0,0.0,6.0,3.0,5.0,3.0,2.0,0.0,2.0,2.0,101.0,2.0,22.0,26.0,54.0,8.0,11.0,36.4,54.5,60.0,182.0,5.0,6.0,1.0,5.0,1.0,69.0,7.0,2.0,5.0,0.0,5.0,11.0,0.0,1.0,0.0
Antonín Kinský,cz CZE,GK,Tottenham,22.0,2003.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.02,1.75,56.3,25.0,0.0,0.0,0.0,0.0,0.0,116.0,80.0,2699.0,100.0,96.1,47.9,1.0,2.0,0.0,0.0,1.0,1.0,0.25,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,156.0,134.0,154.0,2.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,97.0,267.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
Archie Gray,eng ENG,"DF,MF",Tottenham,19.0,2006.0,24.0,15.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,32.0,15.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0,0.06,0.0,24.6,912.0,88.6,15954.0,92.6,92.9,60.7,2.0,37.0,0.0,0.0,32.0,5.0,0.32,0.0,0.0,12.0,6.0,16.0,10.0,19.0,10.0,9.0,12.0,1138.0,134.0,546.0,520.0,82.0,2.0,10.0,50.0,40.0,798.0,1496.0,5.0,5.0,0.0,9.0,10.0,860.0,15.0,9.0,11.0,0.0,12.0,57.0,9.0,8.0,52.9
Arijanet Muric,xk KVX,GK,Ipswich Town,26.0,1998.0,18.0,18.0,1620.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,0.0,0.0,0.0,0.0,454.0,71.7,11705.0,100.0,97.3,40.6,0.0,14.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,689.0,559.0,672.0,18.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,405.0,1178.0,0.0,0.0,0.0,3.0,1.0,321.0,0.0,0.0,4.0,0.0,0.0,26.0,11.0,1.0,91.7
