Player,standard | Nation,standard | Pos,standard | Squad,standard | Age,standard | Born,standard_Playing Time | MP,standard_Playing Time | Starts,standard_Playing Time | Min,standard_Performance | Gls,standard_Performance | Ast,standard_Performance | CrdY,standard_Performance | CrdR,standard_Expected | xG,standard_Expected | xAG,standard_Progression | PrgC,standard_Progression | PrgP,standard_Progression | PrgR,standard_Per 90 Minutes | Gls,standard_Per 90 Minutes | Ast,standard_Per 90 Minutes | xG,standard_Per 90 Minutes | xAG,keepers_Performance | GA90,keepers_Performance | Save%,keepers_Performance | CS%,keepers_Penalty Kicks | Save%,shooting_Standard | SoT%,shooting_Standard | SoT/90,shooting_Standard | G/Sh,shooting_Standard | Dist,passing_Total | Cmp,passing_Total | Cmp%,passing_Total | TotDist,passing_Short | Cmp%,passing_Medium | Cmp%,passing_Long | Cmp%,passing | KP,passing | 1/3,passing | PPA,passing | CrsPA,passing | PrgP,gca_SCA | SCA,gca_SCA | SCA90,gca_GCA | GCA,gca_GCA | GCA90,defense_Tackles | Tkl,defense_Tackles | TklW,defense_Challenges | Att,defense_Challenges | Lost,defense_Blocks | Blocks,defense_Blocks | Sh,defense_Blocks | Pass,defense | Int,possession_Touches | Touches,possession_Touches | Def Pen,possession_Touches | Def 3rd,possession_Touches | Mid 3rd,possession_Touches | Att 3rd,possession_Touches | Att Pen,possession_Take-Ons | Att,possession_Take-Ons | Succ%,possession_Take-Ons | Tkld%,possession_Carries | Carries,possession_Carries | PrgDist,possession_Carries | PrgC,possession_Carries | 1/3,possession_Carries | CPA,possession_Carries | Mis,possession_Carries | Dis,possession_Receiving | Rec,possession_Receiving | PrgR,misc_Performance | Fls,misc_Performance | Fld,misc_Performance | Off,misc_Performance | Crs,misc_Performance | Recov,misc_Aerial Duels | Won,misc_Aerial Duels | Lost,misc_Aerial Duels | Won%
Tim Iroegbunam,eng ENG,MF,Everton,21.0,2003.0,16.0,5.0,566.0,0.0,1.0,4.0,0.0,0.2,0.2,8.0,14.0,9.0,0.0,0.16,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,109.0,72.7,1830.0,73.1,84.0,68.4,3.0,10.0,1.0,0.0,14.0,10.0,1.59,1.0,0.16,27.0,13.0,22.0,8.0,16.0,4.0,12.0,15.0,255.0,21.0,80.0,122.0,59.0,12.0,20.0,40.0,40.0,121.0,360.0,8.0,10.0,2.0,10.0,18.0,110.0,9.0,15.0,11.0,0.0,1.0,47.0,9.0,4.0,69.2
Timo Werner,de GER,"FW,MF",Tottenham,29.0,1996.0,18.0,4.0,516.0,0.0,3.0,0.0,0.0,1.0,2.5,42.0,30.0,89.0,0.0,0.52,0.17,0.44,0.0,0.0,0.0,0.0,37.5,0.52,0.0,18.2,158.0,66.9,2383.0,82.5,70.9,38.9,10.0,3.0,15.0,2.0,30.0,18.0,3.13,3.0,0.52,6.0,4.0,13.0,10.0,10.0,1.0,9.0,1.0,298.0,8.0,24.0,78.0,203.0,33.0,19.0,52.6,42.1,215.0,1062.0,42.0,24.0,18.0,14.0,6.0,227.0,89.0,3.0,5.0,5.0,28.0,18.0,0.0,1.0,0.0
Timothy Castagne,be BEL,DF,Fulham,29.0,1995.0,23.0,17.0,1625.0,0.0,1.0,1.0,0.0,0.4,1.2,17.0,61.0,67.0,0.0,0.06,0.02,0.07,0.0,0.0,0.0,0.0,37.5,0.17,0.0,14.0,768.0,81.8,12239.0,89.9,85.8,49.3,9.0,51.0,5.0,3.0,61.0,25.0,1.38,3.0,0.17,46.0,29.0,45.0,19.0,15.0,6.0,9.0,22.0,1149.0,91.0,444.0,458.0,253.0,32.0,12.0,41.7,41.7,542.0,1043.0,17.0,15.0,2.0,15.0,5.0,657.0,67.0,15.0,6.0,1.0,37.0,55.0,34.0,35.0,49.3
Toby Collyer,eng ENG,MF,Manchester Utd,21.0,2004.0,6.0,0.0,179.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,5.0,2.0,0.0,0.0,0.09,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,76.0,82.6,1127.0,86.0,86.5,75.0,2.0,3.0,1.0,0.0,5.0,5.0,2.5,0.0,0.0,12.0,9.0,6.0,1.0,2.0,1.0,1.0,2.0,129.0,9.0,46.0,59.0,25.0,3.0,2.0,50.0,50.0,68.0,56.0,0.0,0.0,0.0,11.0,1.0,71.0,2.0,2.0,4.0,0.0,0.0,17.0,3.0,1.0,75.0
Tom Cairney,sct SCO,MF,Fulham,34.0,1991.0,22.0,2.0,494.0,1.0,0.0,3.0,1.0,0.2,1.0,14.0,47.0,29.0,0.18,0.0,0.04,0.17,0.0,0.0,0.0,0.0,40.0,0.36,0.2,23.3,482.0,90.4,7576.0,93.4,93.3,74.4,10.0,46.0,7.0,3.0,47.0,28.0,5.08,3.0,0.54,11.0,5.0,7.0,3.0,5.0,1.0,4.0,4.0,576.0,6.0,83.0,305.0,196.0,12.0,12.0,33.3,33.3,385.0,884.0,14.0,15.0,4.0,5.0,4.0,468.0,29.0,8.0,17.0,0.0,17.0,44.0,4.0,8.0,33.3
Tommy Doyle,eng ENG,MF,Wolves,23.0,2001.0,24.0,3.0,488.0,0.0,1.0,1.0,0.0,0.6,0.5,6.0,40.0,4.0,0.0,0.18,0.1,0.09,0.0,0.0,0.0,0.0,22.2,0.37,0.0,24.5,321.0,81.9,6591.0,94.1,89.0,65.6,7.0,44.0,3.0,0.0,40.0,17.0,3.13,3.0,0.55,11.0,6.0,15.0,9.0,11.0,5.0,6.0,5.0,463.0,22.0,128.0,258.0,80.0,4.0,9.0,55.6,11.1,260.0,578.0,6.0,3.0,0.0,9.0,4.0,303.0,4.0,5.0,5.0,0.0,15.0,43.0,1.0,6.0,14.3
Tomáš Souček,cz CZE,MF,West Ham,30.0,1995.0,31.0,26.0,2251.0,8.0,1.0,8.0,0.0,5.9,1.0,6.0,68.0,62.0,0.32,0.04,0.24,0.04,0.0,0.0,0.0,0.0,28.0,0.56,0.16,11.2,623.0,73.8,10461.0,79.1,76.9,69.8,14.0,58.0,8.0,1.0,68.0,43.0,1.72,3.0,0.12,40.0,19.0,37.0,17.0,34.0,17.0,17.0,18.0,1115.0,110.0,309.0,544.0,266.0,96.0,11.0,54.5,45.5,433.0,456.0,6.0,10.0,3.0,17.0,10.0,666.0,62.0,41.0,24.0,4.0,11.0,52.0,90.0,65.0,58.1
Tosin Adarabioyo,eng ENG,DF,Chelsea,27.0,1997.0,20.0,13.0,1229.0,1.0,1.0,3.0,0.0,0.9,0.2,5.0,37.0,1.0,0.07,0.07,0.07,0.02,0.0,0.0,0.0,0.0,16.7,0.15,0.08,12.5,988.0,91.4,18105.0,95.7,94.9,61.1,1.0,53.0,1.0,0.0,37.0,12.0,0.88,1.0,0.07,14.0,10.0,12.0,4.0,9.0,7.0,2.0,10.0,1198.0,160.0,570.0,603.0,26.0,13.0,5.0,80.0,0.0,713.0,1690.0,5.0,2.0,0.0,3.0,0.0,916.0,1.0,8.0,6.0,1.0,0.0,34.0,36.0,26.0,58.1
Toti Gomes,pt POR,DF,Wolves,26.0,1999.0,27.0,26.0,2254.0,0.0,1.0,6.0,0.0,0.7,0.9,21.0,67.0,13.0,0.0,0.04,0.03,0.04,0.0,0.0,0.0,0.0,28.6,0.08,0.0,11.6,1230.0,85.2,20629.0,91.6,92.1,50.0,9.0,71.0,5.0,3.0,67.0,20.0,0.8,1.0,0.04,51.0,37.0,35.0,7.0,27.0,17.0,10.0,22.0,1713.0,198.0,810.0,830.0,92.0,15.0,26.0,65.4,26.9,993.0,2590.0,21.0,18.0,0.0,16.0,13.0,1163.0,13.0,22.0,14.0,4.0,12.0,95.0,47.0,24.0,66.2
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26.0,1998.0,30.0,27.0,2240.0,3.0,6.0,5.0,0.0,1.8,6.7,49.0,211.0,87.0,0.12,0.24,0.07,0.27,0.0,0.0,0.0,0.0,19.0,0.32,0.07,23.5,1357.0,73.6,26053.0,89.8,76.1,49.3,50.0,192.0,62.0,20.0,211.0,93.0,3.73,10.0,0.4,70.0,49.0,101.0,53.0,25.0,8.0,17.0,30.0,2111.0,85.0,565.0,942.0,618.0,42.0,31.0,45.2,48.4,1109.0,2732.0,49.0,35.0,8.0,19.0,15.0,1342.0,87.0,11.0,7.0,1.0,142.0,126.0,3.0,13.0,18.8
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25.0,1999.0,12.0,12.0,1060.0,3.0,0.0,1.0,0.0,1.2,0.4,11.0,34.0,6.0,0.25,0.0,0.1,0.03,0.0,0.0,0.0,0.0,36.4,0.34,0.27,15.1,349.0,79.0,6831.0,88.7,85.2,51.2,4.0,27.0,2.0,1.0,34.0,11.0,0.93,0.0,0.0,20.0,16.0,23.0,11.0,19.0,9.0,10.0,19.0,594.0,66.0,275.0,276.0,51.0,14.0,10.0,60.0,20.0,278.0,661.0,11.0,9.0,1.0,4.0,7.0,317.0,6.0,10.0,15.0,1.0,7.0,56.0,22.0,19.0,53.7
Tyler Adams,us USA,MF,Bournemouth,26.0,1999.0,24.0,17.0,1620.0,0.0,3.0,7.0,0.0,1.6,0.9,12.0,61.0,9.0,0.0,0.17,0.09,0.05,0.0,0.0,0.0,0.0,25.0,0.11,0.0,16.1,702.0,82.9,10949.0,88.2,87.1,55.8,15.0,53.0,2.0,1.0,61.0,36.0,2.0,4.0,0.22,75.0,46.0,63.0,28.0,33.0,10.0,23.0,31.0,1091.0,52.0,291.0,623.0,189.0,17.0,16.0,18.8,56.3,513.0,1080.0,12.0,17.0,1.0,27.0,12.0,583.0,9.0,41.0,19.0,0.0,3.0,96.0,29.0,17.0,63.0
Tyler Dibling,eng ENG,"FW,MF",Southampton,19.0,2006.0,30.0,18.0,1697.0,2.0,0.0,6.0,0.0,2.5,1.5,67.0,60.0,90.0,0.11,0.0,0.13,0.08,0.0,0.0,0.0,0.0,32.1,0.48,0.07,19.3,462.0,80.8,6935.0,90.2,85.1,44.4,20.0,25.0,20.0,1.0,60.0,55.0,2.92,4.0,0.21,34.0,20.0,26.0,10.0,19.0,5.0,14.0,8.0,807.0,24.0,106.0,369.0,351.0,40.0,103.0,42.7,36.9,520.0,2096.0,67.0,47.0,26.0,41.0,53.0,604.0,90.0,28.0,48.0,2.0,27.0,74.0,10.0,21.0,32.3
Tyrell Malacia,nl NED,DF,Manchester Utd,25.0,1999.0,3.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,27.104956896551727,0.0,0.0724353448275862,15.432112068965518,49.0,89.1,642.0,93.9,92.9,100.0,1.0,7.0,1.0,0.0,3.0,2.0,1.8,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,62.0,2.0,20.0,27.0,15.0,0.0,1.0,100.0,0.0,37.0,118.0,3.0,2.0,0.0,1.0,2.0,43.0,6.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,48.97632135306554
