Skill / pot,Player,Age,Team,ETV
79.0 83.7,Marc Guéhi Marc Guéhi C. Palace • D (CL) D (CL),24,C. Palace,€54.2M
79.1 79.2,"Marcus Rashford Marcus Rashford Aston Villa • M, AM (L), F (C) M, AM (L), F (C)",27,Aston Villa,€53.6M
78.0 82.3,Sandro Tonali Sandro Tonali Newcastle Utd. • M (C) M (C),25,Newcastle Utd.,€52.9M
73.2 77.6,Sven Botman Sven Botman Newcastle Utd. • D (C) D (C),25,Newcastle Utd.,€52.7M
73.7 87.5,"Carlos Baleba Carlos Baleba Brighton • DM, M (C) DM, M (C)",21,Brighton,€52.4M
75.6 82.9,Matthijs de Ligt Matthijs de Ligt Man Utd • D (CR) D (CR),25,Man Utd,€52.2M
79.5 80.2,Dominic Solanke Dominic Solanke Tottenham • F (C) F (C),27,Tottenham,€52.1M
79.1 81.0,"Christopher Nkunku Christopher Nkunku Chelsea • F (C), M (L) F (C), M (L)",27,Chelsea,€51.7M
76.1 86.4,"Noni Madueke Noni Madueke Chelsea • F, M (R) F, M (R)",23,Chelsea,€51.6M
71.4 77.2,"João Gomes João Gomes Wolverhampton • M, DM (C) M, DM (C)",24,Wolverhampton,€51.1M
70.5 80.6,"Pape Matar Sarr Pape Matar Sarr Tottenham • M, DM (C) M, DM (C)",22,Tottenham,€50.8M
80.2 80.2,"Kaoru Mitoma Kaoru Mitoma Brighton • F, M (L) F, M (L)",27,Brighton,€50.6M
86.7 87.8,"Bernardo Silva Bernardo Silva Man City • M (CR), DM (C) M (CR), DM (C)",30,Man City,€50M
80.7 86.9,Anthony Gordon Anthony Gordon Newcastle Utd. • F (L) F (L),24,Newcastle Utd.,€49.5M
73.6 84.3,Valentino Livramento Valentino Livramento Newcastle Utd. • D (RL) D (RL),22,Newcastle Utd.,€49.3M
73.1 80.7,Riccardo Calafiori Riccardo Calafiori Arsenal • D (CL) D (CL),22,Arsenal,€49.3M
73.0 74.5,Lisandro Martínez Lisandro Martínez Man Utd • D (CL) D (CL),27,Man Utd,€49.2M
68.1 81.3,"Adam Wharton Adam Wharton C. Palace • DM, M (C) DM, M (C)",21,C. Palace,€48.9M
67.3 82.0,Evan Ferguson Evan Ferguson West Ham United • F (C) F (C),20,West Ham United,€48.5M
75.7 86.7,"Harvey Elliott Harvey Elliott Liverpool • M (C), F (R) M (C), F (R)",22,Liverpool,€48.5M
69.4 76.9,"Amad Diallo Amad Diallo Man Utd • F, M (R), AM (C) F, M (R), AM (C)",22,Man Utd,€48.5M
71.6 78.1,"Nico González Nico González Man City • M, DM (C) M, DM (C)",23,Man City,€48.4M
66.9 76.9,Abdukodir Khusanov Abdukodir Khusanov Man City • D (C) D (C),21,Man City,€48.4M
73.5 75.3,"Jarrod Bowen Jarrod Bowen West Ham United • M (R), F (C) M (R), F (C)",28,West Ham United,€48.1M
74.1 79.3,Antoine Semenyo Antoine Semenyo B'mouth • M (RL) M (RL),25,B'mouth,€47.7M
77.0 77.0,"Joelinton Joelinton Newcastle Utd. • M (C), AM (L) M (C), AM (L)",28,Newcastle Utd.,€47.5M
79.6 89.8,"Elliot Anderson Elliot Anderson Nottingham • M, DM (C) M, DM (C)",22,Nottingham,€46.5M
77.9 78.7,Antonee Robinson Antonee Robinson Fulham • D (L) D (L),27,Fulham,€46.4M
78.9 82.6,"Boubacar Kamara Boubacar Kamara Aston Villa • DM, M (C) DM, M (C)",25,Aston Villa,€46.3M
78.8 85.9,Jacob Ramsey Jacob Ramsey Aston Villa • M (CL) M (CL),23,Aston Villa,€45.8M
89.5 89.5,Gabriel Jesus Gabriel Jesus Arsenal • F (C) F (C),28,Arsenal,€45.6M
75.0 82.6,Anthony Elanga Anthony Elanga Nottingham • M (R) M (R),23,Nottingham,€45.5M
75.6 77.2,Pau Torres Pau Torres Aston Villa • D (C) D (C),28,Aston Villa,€45.3M
70.5 77.7,"Rayan Aït Nouri Rayan Aït Nouri Wolverhampton • D, M (L) D, M (L)",23,Wolverhampton,€45M
79.3 81.7,"Justin Kluivert Justin Kluivert B'mouth • M (C), AM (R) M (C), AM (R)",26,B'mouth,€44.8M
73.5 80.1,Joshua Zirkzee Joshua Zirkzee Man Utd • F (C) F (C),23,Man Utd,€43.7M
83.0 83.0,Jack Grealish Jack Grealish Man City • M (L) M (L),29,Man City,€43.5M
76.6 77.4,"Noussair Mazraoui Noussair Mazraoui Man Utd • D (RL), M (R) D (RL), M (R)",27,Man Utd,€43M
79.9 82.7,Manuel Akanji Manuel Akanji Man City • D (C) D (C),29,Man City,€42.8M
75.9 76.1,Ezri Konsa Ezri Konsa Aston Villa • D (CR) D (CR),27,Aston Villa,€42.7M
74.0 85.6,"Yankuba Minteh Yankuba Minteh Brighton • F, M (R) F, M (R)",20,Brighton,€42.6M
72.3 78.6,Jan Paul van Hecke Jan Paul van Hecke Brighton • D (C) D (C),24,Brighton,€42.4M
71.6 72.7,"Matheus Nunes Matheus Nunes Man City • M (CL), D (R) M (CL), D (R)",26,Man City,€42.3M
72.3 72.3,Guglielmo Vicario Guglielmo Vicario Tottenham • GK GK,28,Tottenham,€41.6M
79.1 79.9,"Youri Tielemans Youri Tielemans Aston Villa • M, DM (C) M, DM (C)",28,Aston Villa,€41.5M
78.2 78.6,"Harvey Barnes Harvey Barnes Newcastle Utd. • F, AM (L) F, AM (L)",27,Newcastle Utd.,€41.5M
58.6 77.4,Vitor Reis Vitor Reis Man City • D (C) D (C),19,Man City,€41.4M
72.1 79.0,"Georginio Rutter Georginio Rutter Brighton • F, M (C) F, M (C)",23,Brighton,€41.3M
75.7 80.3,"Emile Smith Rowe Emile Smith Rowe Fulham • AM (C), M (CL) AM (C), M (CL)",24,Fulham,€40.8M
76.1 84.5,Ian Maatsen Ian Maatsen Aston Villa • D (L) D (L),23,Aston Villa,€40.6M
64.6 79.6,"Bilal El Khannouss Bilal El Khannouss Leicester • AM, M (C) AM, M (C)",20,Leicester,€40.6M
74.6 74.6,"Mikel Merino Mikel Merino Arsenal • M, F (C) M, F (C)",28,Arsenal,€40.5M
75.7 78.7,Marc Cucurella Marc Cucurella Chelsea • D (L) D (L),26,Chelsea,€39.4M
76.2 77.5,"Leon Bailey Leon Bailey Aston Villa • M, AM (R) M, AM (R)",27,Aston Villa,€39.2M
86.6 86.6,"Mohamed Salah Mohamed Salah Liverpool • F (CR), M (R) F (CR), M (R)",32,Liverpool,€38.5M
78.2 80.3,Nikola Milenković Nikola Milenković Nottingham • D (C) D (C),27,Nottingham,€38M
73.6 79.9,"Mykhaylo Mudryk Mykhaylo Mudryk Chelsea • M, AM (L) M, AM (L)",24,Chelsea,€37.8M
78.9 85.6,"Jadon Sancho Jadon Sancho Chelsea • M (RL), AM (L) M (RL), AM (L)",25,Chelsea,€37.7M
73.1 77.0,"Diogo Dalot Diogo Dalot Man Utd • D (R), M (RL) D (R), M (RL)",26,Man Utd,€37.4M
71.0 75.3,Ferdi Kadıoğlu Ferdi Kadıoğlu Brighton • D (L) D (L),25,Brighton,€37.4M
71.1 75.1,Reece James Reece James Chelsea • D (R) D (R),25,Chelsea,€37.3M
73.5 76.5,"Cheick Doucouré Cheick Doucouré C. Palace • DM, M (C) DM, M (C)",25,C. Palace,€37.2M
74.0 76.2,Pervis Estupiñán Pervis Estupiñán Brighton • D (L) D (L),27,Brighton,€37.1M
65.8 75.1,"Liam Delap Liam Delap Ipswich Town • F (C), AM (R) F (C), AM (R)",22,Ipswich Town,€37M
72.3 78.6,"Danilo Danilo Nottingham • DM, M (C) DM, M (C)",24,Nottingham,€36.9M
72.3 72.3,Max Kilman Max Kilman West Ham United • D (C) D (C),27,West Ham United,€36.7M
70.8 71.7,"Edson Álvarez Edson Álvarez West Ham United • DM, M, D (C) DM, M, D (C)",27,West Ham United,€36.5M
76.1 76.1,Nathan Aké Nathan Aké Man City • D (CL) D (CL),30,Man City,€36.4M
73.4 77.6,Jean-Clair Todibo Jean-Clair Todibo West Ham United • D (C) D (C),25,West Ham United,€36M
73.3 77.4,Joe Willock Joe Willock Newcastle Utd. • M (C) M (C),25,Newcastle Utd.,€35.8M
70.2 72.9,"Mason Mount Mason Mount Man Utd • AM, M (C) AM, M (C)",26,Man Utd,€35.5M
59.7 79.0,"Myles Lewis-Skelly Myles Lewis-Skelly Arsenal • D (L), M (C) D (L), M (C)",18,Arsenal,€34.9M
65.0 65.2,"Ibrahim Sangaré Ibrahim Sangaré Nottingham • DM, M (C) DM, M (C)",27,Nottingham,€34.6M
72.1 88.0,Lewis Hall Lewis Hall Newcastle Utd. • D (L) D (L),20,Newcastle Utd.,€34.5M
73.5 76.9,André Onana André Onana Man Utd • GK GK,29,Man Utd,€34.2M
67.6 75.0,"Simon Adingra Simon Adingra Brighton • F (L), M (RL) F (L), M (RL)",23,Brighton,€34M
75.7 77.8,Vitaliy Mykolenko Vitaliy Mykolenko Everton • D (L) D (L),25,Everton,€33.5M
74.2 80.2,Nathan Collins Nathan Collins Brentford • D (C) D (C),24,Brentford,€33.3M
74.9 74.9,Matty Cash Matty Cash Aston Villa • D (R) D (R),27,Aston Villa,€32.9M
75.6 88.2,Malo Gusto Malo Gusto Chelsea • D (R) D (R),21,Chelsea,€32.8M
53.3 81.5,"Tyler Dibling Tyler Dibling Southampton • AM, M (R) AM, M (R)",19,Southampton,€32.7M
67.0 83.0,Lucas Bergvall Lucas Bergvall Tottenham • M (C) M (C),19,Tottenham,€32.6M
77.2 85.6,Jarrad Branthwaite Jarrad Branthwaite Everton • D (C) D (C),22,Everton,€32.2M
79.5 79.5,Leandro Trossard Leandro Trossard Arsenal • F (CL) F (CL),30,Arsenal,€31.8M
74.8 74.8,Jean-Philippe Mateta Jean-Philippe Mateta C. Palace • F (C) F (C),27,C. Palace,€31.7M
74.3 75.0,"Rodrigo Bentancur Rodrigo Bentancur Tottenham • DM, M (C) DM, M (C)",27,Tottenham,€31.5M
64.8 81.6,"Patrick Dorgu Patrick Dorgu Man Utd • D, M (L) D, M (L)",20,Man Utd,€31.5M
78.6 78.6,Joachim Andersen Joachim Andersen Fulham • D (C) D (C),28,Fulham,€31.4M
76.7 76.7,Yoane Wissa Yoane Wissa Brentford • F (C) F (C),28,Brentford,€31.4M
77.5 77.5,"Daniel Muñoz Daniel Muñoz C. Palace • D, M (R) D, M (R)",28,C. Palace,€30.9M
72.5 76.7,Jørgen Strand Larsen Jørgen Strand Larsen Wolverhampton • F (C) F (C),25,Wolverhampton,€30.8M
66.8 84.2,"Facundo Buonanotte Facundo Buonanotte Leicester • AM (C), M (CR) AM (C), M (CR)",20,Leicester,€30.7M
80.9 80.9,"Heung-min Son Heung-min Son Tottenham • F (CL), M (L) F (CL), M (L)",32,Tottenham,€30.7M
72.3 84.4,Bart Verbruggen Bart Verbruggen Brighton • GK GK,22,Brighton,€30.7M
72.6 77.7,Wesley Fofana Wesley Fofana Chelsea • D (CR) D (CR),24,Chelsea,€30.3M
76.3 76.3,"Alex Iwobi Alex Iwobi Fulham • F (L), M (RL) F (L), M (RL)",29,Fulham,€30.3M
81.4 86.4,Callum Hudson-Odoi Callum Hudson-Odoi Nottingham • M (L) M (L),24,Nottingham,€30.2M
73.3 79.3,Calvin Bassey Calvin Bassey Fulham • D (CL) D (CL),25,Fulham,€29.9M
66.9 79.9,Taylor Harwood-Bellis Taylor Harwood-Bellis Southampton • D (CR) D (CR),23,Southampton,€29.9M
71.5 79.3,"André André Wolverhampton • DM, M (C) DM, M (C)",23,Wolverhampton,€29.8M
71.4 71.7,"Yves Bissouma Yves Bissouma Tottenham • DM, M (C) DM, M (C)",28,Tottenham,€29.8M
71.1 76.5,"Kevin Schade Kevin Schade Brentford • F (CL), M (L) F (CL), M (L)",23,Brentford,€29.7M
75.0 76.2,John Stones John Stones Man City • D (CR) D (CR),30,Man City,€29.7M
62.8 74.8,"Brajan Gruda Brajan Gruda Brighton • F, M (R), AM (C) F, M (R), AM (C)",20,Brighton,€29.4M
86.5 86.5,David Raya David Raya Arsenal • GK GK,29,Arsenal,€28.9M
73.4 78.0,"Mikkel Damsgaard Mikkel Damsgaard Brentford • AM, M (C) AM, M (C)",24,Brentford,€28.6M
70.2 77.6,Benoît Badiashile Benoît Badiashile Chelsea • D (C) D (C),24,Chelsea,€28.5M
59.4 78.1,Lewis Miley Lewis Miley Newcastle Utd. • M (C) M (C),19,Newcastle Utd.,€28.5M
72.9 80.4,"Dango Ouattara Dango Ouattara B'mouth • F, M (L), AM (R) F, M (L), AM (R)",23,B'mouth,€28.5M
69.6 78.5,Radu Drăguşin Radu Drăguşin Tottenham • D (C) D (C),23,Tottenham,€28.4M
67.0 73.9,Leif Davis Leif Davis Ipswich Town • D (L) D (L),25,Ipswich Town,€28.2M
65.5 75.2,Conor Bradley Conor Bradley Liverpool • D (R) D (R),21,Liverpool,€27.9M
55.5 65.4,"Oscar Bobb Oscar Bobb Man City • AM (R), M (C) AM (R), M (C)",21,Man City,€27.9M
72.4 72.7,"Sander Berge Sander Berge Fulham • DM, M (C) DM, M (C)",27,Fulham,€27.8M
76.4 80.0,Maxence Lacroix Maxence Lacroix C. Palace • D (C) D (C),25,C. Palace,€27.7M
66.4 77.6,"Alex Scott Alex Scott B'mouth • M, DM, AM (C) M, DM, AM (C)",21,B'mouth,€27.6M
69.1 69.7,Axel Disasi Axel Disasi Aston Villa • D (CR) D (CR),27,Aston Villa,€27.5M
64.9 79.9,O. Hutchinson O. Hutchinson Ipswich Town • M (CR) M (CR),21,Ipswich Town,€27.4M
72.6 74.2,Kevin Danso Kevin Danso Tottenham • D (C) D (C),26,Tottenham,€27.2M
71.8 77.4,"Keane Lewis-Potter Keane Lewis-Potter Brentford • F, D, M (L) F, D, M (L)",24,Brentford,€27.1M
77.0 77.8,"Vitaly Janelt Vitaly Janelt Brentford • DM, M (C) DM, M (C)",26,Brentford,€27.1M
62.1 74.4,"Lesley Ugochukwu Lesley Ugochukwu Southampton • DM, M (C) DM, M (C)",21,Southampton,€27M
70.8 75.4,"Dwight McNeil Dwight McNeil Everton • AM (C), M (CL) AM (C), M (CL)",25,Everton,€27M
73.4 77.4,Evanilson Evanilson B'mouth • F (C) F (C),25,B'mouth,€26.9M
74.4 75.0,"Aaron Wan-Bissaka Aaron Wan-Bissaka West Ham United • D, M (R) D, M (R)",27,West Ham United,€26.9M
72.6 72.7,Richarlison Richarlison Tottenham • F (C) F (C),27,Tottenham,€26.7M
50.1 65.3,Luis Guilherme Luis Guilherme West Ham United • F (R) F (R),19,West Ham United,€26.6M
71.5 79.4,Sepp van den Berg Sepp van den Berg Brentford • D (CR) D (CR),23,Brentford,€26.4M
62.6 73.4,Jarell Quansah Jarell Quansah Liverpool • D (C) D (C),22,Liverpool,€26.2M
65.2 71.3,"Crysencio Summerville Crysencio Summerville West Ham United • M, AM (L) M, AM (L)",23,West Ham United,€25.9M
63.8 70.1,Igor Thiago Igor Thiago Brentford • F (C) F (C),23,Brentford,€25.9M
65.0 73.6,Filip Jørgensen Filip Jørgensen Chelsea • GK GK,23,Chelsea,€25.9M
68.5 72.9,"Iliman Ndiaye Iliman Ndiaye Everton • F, M (L), AM (C) F, M (L), AM (C)",25,Everton,€25.7M
69.9 70.1,"Ismaïla Sarr Ismaïla Sarr C. Palace • F (R), AM (L) F (R), AM (L)",27,C. Palace,€25.7M
66.1 71.9,Matt O'Riley Matt O'Riley Brighton • M (C) M (C),24,Brighton,€25.6M
75.8 76.5,Joe Gomez Joe Gomez Liverpool • D (CRL) D (CRL),27,Liverpool,€25.3M
77.7 77.7,"Mateo Kovačić Mateo Kovačić Man City • M, DM (C) M, DM (C)",31,Man City,€25.3M
67.9 81.0,"Wilson Odobert Wilson Odobert Tottenham • F, M (L) F, M (L)",20,Tottenham,€25.1M
65.2 73.1,Jacob Greaves Jacob Greaves Ipswich Town • D (CL) D (CL),24,Ipswich Town,€25.1M
72.1 72.9,Igor Júlio Igor Júlio Brighton • D (CL) D (CL),27,Brighton,€25M
67.2 70.8,Wout Faes Wout Faes Leicester • D (C) D (C),27,Leicester,€25M
67.7 80.4,Michael Kayode Michael Kayode Brentford • D (RL) D (RL),20,Brentford,€25M
69.8 73.7,Jakub Kiwior Jakub Kiwior Arsenal • D (CL) D (CL),25,Arsenal,€25M
72.4 85.1,Aaron Hickey Aaron Hickey Brentford • D (R) D (R),22,Brentford,€24.9M
75.8 75.8,Robert Sánchez Robert Sánchez Chelsea • GK GK,27,Chelsea,€24.9M
67.8 68.8,"Kiernan Dewsbury-Hall Kiernan Dewsbury-Hall Chelsea • M, DM (C) M, DM (C)",26,Chelsea,€24.9M
69.6 80.5,"Julio Enciso Julio Enciso Ipswich Town • AM (C), M (CL) AM (C), M (CL)",21,Ipswich Town,€24.9M
70.1 72.8,Edward Nketiah Edward Nketiah C. Palace • F (C) F (C),25,C. Palace,€24.8M
80.7 83.8,"Tyrick Mitchell Tyrick Mitchell C. Palace • M, D (L) M, D (L)",25,C. Palace,€24.6M
54.9 75.0,"Claudio Echeverri Claudio Echeverri Man City • AM, M (C) AM, M (C)",19,Man City,€24.4M
70.6 73.7,"Jesper Lindstrøm Jesper Lindstrøm Everton • M (R), AM (CR) M (R), AM (CR)",25,Everton,€24.4M
71.8 74.8,"Marcus Tavernier Marcus Tavernier B'mouth • M (RL), AM (L) M (RL), AM (L)",26,B'mouth,€24.4M
72.9 75.9,Tyler Adams Tyler Adams B'mouth • DM (C) DM (C),26,B'mouth,€24.4M
66.7 66.7,Beto Beto Everton • F (C) F (C),27,Everton,€24.4M
71.2 71.5,"Orel Mangala Orel Mangala Everton • DM, M (C) DM, M (C)",27,Everton,€24.4M
74.1 74.1,Tosin Adarabioyo Tosin Adarabioyo Chelsea • D (C) D (C),27,Chelsea,€24.3M
79.8 80.3,Virgil van Dijk Virgil van Dijk Liverpool • D (C) D (C),33,Liverpool,€24.3M
78.0 78.0,Alisson Alisson Liverpool • GK GK,32,Liverpool,€24.1M
80.2 80.6,Andrew Robertson Andrew Robertson Liverpool • D (L) D (L),31,Liverpool,€24M
69.6 83.9,"Victor Kristiansen Victor Kristiansen Leicester • D, M (L) D, M (L)",22,Leicester,€23.9M
47.9 69.8,"Mikey Moore Mikey Moore Tottenham • AM, F (L) AM, F (L)",17,Tottenham,€23.7M
69.4 69.4,Konstantinos Tsimikas Konstantinos Tsimikas Liverpool • D (L) D (L),28,Liverpool,€23.6M
71.4 71.6,"Carlos Soler Carlos Soler West Ham United • M (C), AM (R) M (C), AM (R)",28,West Ham United,€23.4M
71.6 78.5,Neco Williams Neco Williams Nottingham • D (RL) D (RL),24,Nottingham,€23.4M
75.6 75.6,"Tomáš Souček Tomáš Souček West Ham United • DM, M (C) DM, M (C)",30,West Ham United,€23.2M
74.9 80.4,"James Garner James Garner Everton • DM, M (C) DM, M (C)",24,Everton,€23.2M
72.9 77.1,Takehiro Tomiyasu Takehiro Tomiyasu Arsenal • D (RL) D (RL),26,Arsenal,€22.9M
78.0 78.0,Dean Henderson Dean Henderson C. Palace • GK GK,28,C. Palace,€22.7M
75.3 75.3,Jordan Pickford Jordan Pickford Everton • GK GK,31,Everton,€22.6M
61.5 79.1,Mateus Fernandes Mateus Fernandes Southampton • M (C) M (C),20,Southampton,€22.5M
77.0 77.0,John McGinn John McGinn Aston Villa • M (CRL) M (CRL),30,Aston Villa,€22.5M
61.7 67.3,"J. Philogene J. Philogene Ipswich Town • F (L), M (RL) F (L), M (RL)",23,Ipswich Town,€22.3M
66.2 79.9,"Abdul Fatawu Issahaku Abdul Fatawu Issahaku Leicester • F, M (R) F, M (R)",21,Leicester,€21.9M
71.9 72.1,Kristoffer Ajer Kristoffer Ajer Brentford • D (CR) D (CR),27,Brentford,€21.5M
80.6 83.4,"Donyell Malen Donyell Malen Aston Villa • F, M (R), AM (L) F, M (R), AM (L)",26,Aston Villa,€21.4M
67.1 79.5,"Yasin Ayari Yasin Ayari Brighton • M, DM (C) M, DM (C)",21,Brighton,€21.4M
63.3 76.9,Chadi Riad Chadi Riad C. Palace • D (C) D (C),21,C. Palace,€21.4M
67.0 69.6,"Reiss Nelson Reiss Nelson Fulham • F (R), M (L) F (R), M (L)",25,Fulham,€21.3M
68.6 69.1,Jean-Ricner Bellegarde Jean-Ricner Bellegarde Wolverhampton • M (C) M (C),26,Wolverhampton,€21.3M
78.9 80.5,Sean Longstaff Sean Longstaff Newcastle Utd. • M (C) M (C),27,Newcastle Utd.,€21.3M
68.1 68.7,Federico Chiesa Federico Chiesa Liverpool • F (CR) F (CR),27,Liverpool,€21.2M
59.6 62.6,Caoimhin Kelleher Caoimhin Kelleher Liverpool • GK GK,26,Liverpool,€20.9M
70.5 78.5,"Fabio Carvalho Fabio Carvalho Brentford • AM, M, F (C) AM, M, F (C)",22,Brentford,€20.6M
69.2 70.7,Marcos Senesi Marcos Senesi B'mouth • D (C) D (C),27,B'mouth,€20.4M
69.2 69.2,"Ben Chilwell Ben Chilwell C. Palace • D, M (L) D, M (L)",28,C. Palace,€20.4M
69.3 70.8,"Wilfred Ndidi Wilfred Ndidi Leicester • DM, M (C) DM, M (C)",28,Leicester,€20.3M
66.9 66.9,Taiwo Awoniyi Taiwo Awoniyi Nottingham • F (C) F (C),27,Nottingham,€20.2M
75.2 78.8,Trevoh Chalobah Trevoh Chalobah Chelsea • D (CR) D (CR),25,Chelsea,€20.1M
84.9 84.9,"Kevin De Bruyne Kevin De Bruyne Man City • M, AM (C) M, AM (C)",33,Man City,€20.1M
67.3 74.1,Felipe Morato Felipe Morato Nottingham • D (CL) D (CL),23,Nottingham,€20M
63.0 71.9,Antonín Kinský Antonín Kinský Tottenham • GK GK,22,Tottenham,€20M
79.1 79.2,Oleksandr Zinchenko Oleksandr Zinchenko Arsenal • D (L) D (L),28,Arsenal,€19.9M
59.8 64.3,Nathan Patterson Nathan Patterson Everton • D (R) D (R),23,Everton,€19.9M
63.4 71.6,"James McAtee James McAtee Man City • AM (C), M (CR) AM (C), M (CR)",22,Man City,€19.8M
62.5 70.5,Mads Hermansen Mads Hermansen Leicester • GK GK,24,Leicester,€19.8M
72.5 76.5,Djed Spence Djed Spence Tottenham • D (RL) D (RL),24,Tottenham,€19.8M
65.4 69.0,Jake O'Brien Jake O'Brien Everton • D (CR) D (CR),23,Everton,€19.7M
77.6 77.6,"Marco Asensio Marco Asensio Aston Villa • F (CR), M (C) F (CR), M (C)",29,Aston Villa,€19.6M
69.9 78.3,Carlos Alcaraz Carlos Alcaraz Everton • M (CL) M (CL),22,Everton,€19.6M
64.8 69.8,Dara O'Shea Dara O'Shea Ipswich Town • D (CR) D (CR),26,Ipswich Town,€19.5M
62.8 67.8,"Jack Clarke Jack Clarke Ipswich Town • F, M (L) F, M (L)",24,Ipswich Town,€19.4M
57.7 76.5,"Romain Esse Romain Esse C. Palace • M (R), AM (C) M (R), AM (C)",19,C. Palace,€19.4M
72.7 73.6,"Lewis Cook Lewis Cook B'mouth • M, DM (C), D (R) M, DM (C), D (R)",28,B'mouth,€19.3M
80.2 80.2,Ederson Ederson Man City • GK GK,31,Man City,€19.1M
68.8 69.2,Konstantinos Mavropanos Konstantinos Mavropanos West Ham United • D (C) D (C),27,West Ham United,€19.1M
75.7 75.7,"Andreas Pereira Andreas Pereira Fulham • M, DM, AM (C) M, DM, AM (C)",29,Fulham,€19M
74.3 75.4,"Nicolás Domínguez Nicolás Domínguez Nottingham • M, DM (C) M, DM (C)",26,Nottingham,€18.8M
74.2 74.7,Ola Aina Ola Aina Nottingham • D (RL) D (RL),28,Nottingham,€18.8M
67.3 71.5,Aaron Ramsdale Aaron Ramsdale Southampton • GK GK,26,Southampton,€18.7M
70.6 72.1,Toti Gomes Toti Gomes Wolverhampton • D (CL) D (CL),26,Wolverhampton,€18.6M
64.8 70.9,Armando Broja Armando Broja Everton • F (C) F (C),23,Everton,€18.6M
66.2 73.8,Cameron Archer Cameron Archer Southampton • F (C) F (C),23,Southampton,€18.6M
65.6 71.7,"Kamaldeen Sulemana Kamaldeen Sulemana Southampton • F, M (L) F, M (L)",23,Southampton,€18.5M
72.2 74.0,"Ryan Yates Ryan Yates Nottingham • M, DM (C) M, DM (C)",27,Nottingham,€18.3M
68.3 68.3,"Marshall Munetsi Marshall Munetsi Wolverhampton • M, DM (C) M, DM (C)",28,Wolverhampton,€18.3M
65.9 75.9,"Yehor Yarmoliuk Yehor Yarmoliuk Brentford • AM, M (C) AM, M (C)",21,Brentford,€18M
68.7 68.7,Emmanuel Agbadou Emmanuel Agbadou Wolverhampton • D (C) D (C),27,Wolverhampton,€18M
77.2 77.2,"Jacob Murphy Jacob Murphy Newcastle Utd. • F (R), AM (L) F (R), AM (L)",30,Newcastle Utd.,€17.9M
70.8 71.5,Issa Diop Issa Diop Fulham • D (C) D (C),28,Fulham,€17.9M
67.6 68.8,Dominic Calvert-Lewin Dominic Calvert-Lewin Everton • F (C) F (C),28,Everton,€17.8M
72.0 72.0,"Jack Harrison Jack Harrison Everton • F, M (R), AM (C) F, M (R), AM (C)",28,Everton,€17.7M
69.0 69.1,Hee-chan Hwang Hee-chan Hwang Wolverhampton • F (C) F (C),29,Wolverhampton,€17.6M
77.1 77.1,"Raheem Sterling Raheem Sterling Arsenal • F, AM (R), M (L) F, AM (R), M (L)",30,Arsenal,€17.5M
74.2 74.2,Emiliano Martínez Emiliano Martínez Aston Villa • GK GK,32,Aston Villa,€17.5M
72.7 72.7,Luke Shaw Luke Shaw Man Utd • D (CL) D (CL),29,Man Utd,€17.5M
63.7 65.7,Jota Silva Jota Silva Nottingham • F (CR) F (CR),25,Nottingham,€17.4M
62.1 64.7,"Ramón Sosa Ramón Sosa Nottingham • F, M, AM (L) F, M, AM (L)",25,Nottingham,€17.4M
75.9 75.9,Timothy Castagne Timothy Castagne Fulham • D (R) D (R),29,Fulham,€17.4M
66.6 66.7,"Kalvin Phillips Kalvin Phillips Ipswich Town • DM, M (C) DM, M (C)",29,Ipswich Town,€17.2M
67.9 70.6,James Justin James Justin Leicester • D (RL) D (RL),27,Leicester,€17M
70.0 76.8,"Oliver Skipp Oliver Skipp Leicester • DM, M (C) DM, M (C)",24,Leicester,€17M
65.7 70.1,"Mats Wieffer Mats Wieffer Brighton • M, DM (C) M, DM (C)",25,Brighton,€16.8M
51.4 62.0,Youssef Chermiti Youssef Chermiti Everton • F (C) F (C),20,Everton,€16.8M
43.1 62.7,Marc Guiu Marc Guiu Chelsea • F (C) F (C),19,Chelsea,€16.7M
64.3 73.0,Caleb Okoli Caleb Okoli Leicester • D (CL) D (CL),23,Leicester,€16.7M
65.5 67.6,"Kyle Walker-Peters Kyle Walker-Peters Southampton • D, M (R) D, M (R)",28,Southampton,€16.6M
62.1 67.9,"Albert Grønbæk Albert Grønbæk Southampton • AM, M (C) AM, M (C)",23,Southampton,€16.6M
64.8 64.8,Enes Ünal Enes Ünal B'mouth • F (C) F (C),27,B'mouth,€16.4M
71.2 71.2,Gonçalo Guedes Gonçalo Guedes Wolverhampton • F (CL) F (CL),28,Wolverhampton,€16.2M
76.7 76.7,Ryan Christie Ryan Christie B'mouth • DM (C) DM (C),30,B'mouth,€16.2M
65.6 72.2,Yukinari Sugawara Yukinari Sugawara Southampton • D (R) D (R),24,Southampton,€15.7M
71.1 75.3,Chris Richards Chris Richards C. Palace • D (CRL) D (CRL),25,C. Palace,€15.7M
46.2 62.2,Tyrique George Tyrique George Chelsea • F (L) F (L),19,Chelsea,€15.7M
59.7 70.0,Matheus França Matheus França C. Palace • AM (C) AM (C),21,C. Palace,€15.5M
66.1 68.8,"Jens Cajuste Jens Cajuste Ipswich Town • DM, M (C) DM, M (C)",25,Ipswich Town,€15.5M
65.2 67.9,"Luis Sinisterra Luis Sinisterra B'mouth • F, M (L) F, M (L)",25,B'mouth,€15.4M
