Skill / pot,Player,Age,Team,ETV
50.3 71.0,Ayden Heaven Ayden Heaven Man Utd • D (CL) D (CL),19,Man Utd,€6.7M
52.9 55.1,Andy Irving Andy Irving West Ham United • M (C) M (C),24,West Ham United,€6.5M
46.4 70.3,Joachim Kayi Sanda Joachim Kayi Sanda Southampton • D (CR) D (CR),18,Southampton,€6.3M
66.1 66.8,Saša Kalajdžić Saša Kalajdžić Wolverhampton • F (C) F (C),27,Wolverhampton,€6.3M
63.3 63.3,Nathan Broadhead Nathan Broadhead Ipswich Town • M (L) M (L),27,Ipswich Town,€6.1M
57.2 65.0,Nathan Wood Nathan Wood Southampton • D (CL) D (CL),22,Southampton,€6.1M
54.6 66.3,Lamare Bogarde Lamare Bogarde Aston Villa • M (C) M (C),21,Aston Villa,€6M
72.1 72.1,Danny Welbeck Danny Welbeck Brighton • F (C) F (C),34,Brighton,€6M
69.1 69.1,"Abdoulaye Doucouré Abdoulaye Doucouré Everton • M, AM (C) M, AM (C)",32,Everton,€5.8M
61.7 61.7,Stefan Ortega Stefan Ortega Man City • GK GK,32,Man City,€5.8M
69.5 69.5,Tyrone Mings Tyrone Mings Aston Villa • D (C) D (C),32,Aston Villa,€5.8M
74.8 74.8,Joël Veltman Joël Veltman Brighton • D (CR) D (CR),33,Brighton,€5.7M
66.4 66.4,Ben Davies Ben Davies Tottenham • D (CL) D (CL),32,Tottenham,€5.6M
68.2 68.6,"Sergio Reguilón Sergio Reguilón Tottenham • D, M (L) D, M (L)",28,Tottenham,€5.6M
66.9 70.3,Joshua Dasilva Joshua Dasilva Brentford • M (C) M (C),26,Brentford,€5.4M
74.9 74.9,"Jorginho Jorginho Arsenal • DM, M (C) DM, M (C)",33,Arsenal,€5.3M
69.5 69.5,Kieran Trippier Kieran Trippier Newcastle Utd. • D (R) D (R),34,Newcastle Utd.,€5.1M
68.8 68.8,Raúl Jiménez Raúl Jiménez Fulham • F (C) F (C),34,Fulham,€5.1M
71.6 71.6,"Idrissa Gueye Idrissa Gueye Everton • DM, M (C) DM, M (C)",35,Everton,€5M
51.7 63.9,Dane Scarlett Dane Scarlett Tottenham • F (C) F (C),21,Tottenham,€4.9M
67.3 67.3,"Pablo Sarabia Pablo Sarabia Wolverhampton • F (R), AM (C) F (R), AM (C)",32,Wolverhampton,€4.9M
66.7 66.7,Vladimír Coufal Vladimír Coufal West Ham United • D (R) D (R),32,West Ham United,€4.8M
59.6 59.6,Danny Ings Danny Ings West Ham United • F (C) F (C),32,West Ham United,€4.6M
65.4 66.4,Odysseas Vlachodimos Odysseas Vlachodimos Newcastle Utd. • GK GK,31,Newcastle Utd.,€4.6M
45.1 67.2,Matai Akinmboni Matai Akinmboni B'mouth • D (C) D (C),18,B'mouth,€4.6M
49.6 50.2,Carlos Miguel Carlos Miguel Nottingham • GK GK,26,Nottingham,€4.4M
59.6 64.7,Carl Rushworth Carl Rushworth Brighton • GK GK,23,Brighton,€4.4M
48.7 68.3,Joshua King Joshua King Fulham • M (C) M (C),18,Fulham,€4.4M
45.7 67.7,"Eric da Silva Moreira Eric da Silva Moreira Nottingham • M, AM (R) M, AM (R)",19,Nottingham,€4.3M
62.4 63.0,Axel Tuanzebe Axel Tuanzebe Ipswich Town • D (CR) D (CR),27,Ipswich Town,€4.2M
66.9 66.9,"Christian Eriksen Christian Eriksen Man Utd • M, DM (C) M, DM (C)",33,Man Utd,€4.2M
68.1 68.1,Matt Doherty Matt Doherty Wolverhampton • D (R) D (R),33,Wolverhampton,€4.2M
65.5 66.4,Jordan Ayew Jordan Ayew Leicester • F (CR) F (CR),33,Leicester,€4.2M
60.8 60.8,Ricardo Pereira Ricardo Pereira Leicester • D (R) D (R),31,Leicester,€4.1M
61.1 67.3,Welington Welington Southampton • D (L) D (L),24,Southampton,€4M
62.2 62.4,"Ryan Manning Ryan Manning Southampton • D, M (L) D, M (L)",28,Southampton,€3.9M
57.2 58.9,"Jack Taylor Jack Taylor Ipswich Town • DM, M (C) DM, M (C)",26,Ipswich Town,€3.8M
49.9 49.9,Ross Stewart Ross Stewart Southampton • F (C) F (C),28,Southampton,€2.8M
64.0 64.0,"Bobby Reid Bobby Reid Leicester • F (R), M (RL) F (R), M (RL)",32,Leicester,€2.7M
65.0 66.3,Jamaal Lascelles Jamaal Lascelles Newcastle Utd. • D (C) D (C),31,Newcastle Utd.,€2.7M
63.0 67.9,Hákon Rafn Valdimarsson Hákon Rafn Valdimarsson Brentford • GK GK,23,Brentford,€2.4M
63.3 63.3,Carlos Vinícius Carlos Vinícius Fulham • F (C) F (C),30,Fulham,€2.4M
57.4 57.4,Michael Keane Michael Keane Everton • D (C) D (C),32,Everton,€2.3M
59.0 59.0,"Ryan Fraser Ryan Fraser Southampton • F, AM (L) F, AM (L)",31,Southampton,€2.3M
48.8 67.3,Michael Golding Michael Golding Leicester • M (C) M (C),18,Leicester,€2.3M
62.1 62.1,Harry Toffolo Harry Toffolo Nottingham • D (L) D (L),29,Nottingham,€2.2M
61.3 61.3,Conor Coady Conor Coady Leicester • D (C) D (C),32,Leicester,€2.2M
63.2 63.4,Daniel Iversen Daniel Iversen Leicester • GK GK,27,Leicester,€2.1M
54.7 61.8,James Hill James Hill B'mouth • D (CR) D (CR),23,B'mouth,€2.1M
64.4 64.4,Wes Burns Wes Burns Ipswich Town • M (R) M (R),30,Ipswich Town,€2.1M
63.6 64.4,Charlie Taylor Charlie Taylor Southampton • D (CL) D (CL),31,Southampton,€2.1M
61.7 61.7,Jannik Vestergaard Jannik Vestergaard Leicester • D (C) D (C),32,Leicester,€2M
58.8 58.8,Emil Krafth Emil Krafth Newcastle Utd. • D (CR) D (CR),30,Newcastle Utd.,€2M
59.8 60.2,Jamal Lewis Jamal Lewis Newcastle Utd. • D (L) D (L),27,Newcastle Utd.,€2M
65.0 68.3,Luke Woolfenden Luke Woolfenden Ipswich Town • D (C) D (C),26,Ipswich Town,€2M
59.9 60.8,James Bree James Bree Southampton • D (CR) D (CR),27,Southampton,€1.9M
59.6 63.6,Woyo Coulibaly Woyo Coulibaly Leicester • D (RL) D (RL),25,Leicester,€1.9M
48.3 62.0,Caleb Kporha Caleb Kporha C. Palace • D (R) D (R),18,C. Palace,€1.7M
61.7 62.8,Cameron Burgess Cameron Burgess Ipswich Town • D (C) D (C),29,Ipswich Town,€1.7M
64.4 67.5,Alex Palmer Alex Palmer Ipswich Town • GK GK,28,Ipswich Town,€1.6M
61.3 62.7,Neto Neto Arsenal • GK GK,35,Arsenal,€1.6M
62.4 63.6,Kortney Hause Kortney Hause Aston Villa • D (CL) D (CL),29,Aston Villa,€1.5M
53.7 54.2,Daniel Bentley Daniel Bentley Wolverhampton • GK GK,31,Wolverhampton,€1.5M
68.5 68.7,Adam Smith Adam Smith B'mouth • D (R) D (R),34,B'mouth,€1.5M
64.4 64.4,Craig Dawson Craig Dawson Wolverhampton • D (C) D (C),35,Wolverhampton,€1.5M
51.5 52.0,Jason Steele Jason Steele Brighton • GK GK,34,Brighton,€1.5M
55.1 61.3,"Kasey McAteer Kasey McAteer Leicester • F, M (R) F, M (R)",23,Leicester,€1.5M
61.7 61.7,"Tom Cairney Tom Cairney Fulham • M, DM (C) M, DM (C)",34,Fulham,€1.5M
52.3 62.2,"Malcolm Ebiowei Malcolm Ebiowei C. Palace • F, M (R) F, M (R)",21,C. Palace,€1.5M
56.6 56.7,Christian Walton Christian Walton Ipswich Town • GK GK,29,Ipswich Town,€1.4M
60.6 61.0,Jack Stephens Jack Stephens Southampton • D (CL) D (CL),31,Southampton,€1.4M
57.6 57.6,Willy Boly Willy Boly Nottingham • D (CR) D (CR),34,Nottingham,€1.4M
45.0 66.2,Omari Kellyman Omari Kellyman Chelsea • F (C) F (C),19,Chelsea,€1.4M
72.5 72.5,Ashley Young Ashley Young Everton • D (RL) D (RL),39,Everton,€1.3M
65.0 65.6,"Sam Morsy Sam Morsy Ipswich Town • M, DM (C) M, DM (C)",33,Ipswich Town,€1.3M
67.4 67.4,"Willian Willian Fulham • F, M, AM (L) F, M, AM (L)",36,Fulham,€1.3M
59.7 60.9,Wesley Foderingham Wesley Foderingham West Ham United • GK GK,34,West Ham United,€1.3M
62.2 62.2,Martin Dúbravka Martin Dúbravka Newcastle Utd. • GK GK,36,Newcastle Utd.,€1.3M
58.7 58.7,Conor Townsend Conor Townsend Ipswich Town • D (L) D (L),32,Ipswich Town,€1.2M
58.2 64.3,Will Dennis Will Dennis B'mouth • GK GK,24,B'mouth,€1.2M
54.7 61.6,Cieran Slicker Cieran Slicker Ipswich Town • GK GK,22,Ipswich Town,€1.2M
66.2 66.2,"James Milner James Milner Brighton • M (C), D (R) M (C), D (R)",39,Brighton,€1.2M
60.4 60.4,Jonny Evans Jonny Evans Man Utd • D (C) D (C),37,Man Utd,€1.1M
62.0 62.8,Nathaniel Clyne Nathaniel Clyne C. Palace • D (R) D (R),34,C. Palace,€1M
50.4 51.8,Steven Benda Steven Benda Fulham • GK GK,26,Fulham,€1M
49.1 60.8,Kim Ji-Soo Kim Ji-Soo Brentford • D (C) D (C),20,Brentford,€1M
55.5 56.3,Marcus Bettinelli Marcus Bettinelli Chelsea • GK GK,32,Chelsea,€1M
67.3 69.5,Jamie Vardy Jamie Vardy Leicester • F (C) F (C),38,Leicester,€1M
70.2 70.2,Michail Antonio Michail Antonio West Ham United • F (C) F (C),35,West Ham United,€1.0M
46.0 46.0,Robin Olsen Robin Olsen Aston Villa • GK GK,35,Aston Villa,€0.9M
62.6 62.6,Ben Mee Ben Mee Brentford • D (CL) D (CL),35,Brentford,€0.9M
50.1 50.1,Danny Ward Danny Ward Leicester • GK GK,31,Leicester,€0.9M
59.0 71.0,"Kaden Rodney Kaden Rodney C. Palace • DM, M (C) DM, M (C)",20,C. Palace,€0.9M
58.4 58.4,"Adam Lallana Adam Lallana Southampton • AM, M (C) AM, M (C)",36,Southampton,€0.9M
64.4 64.4,Łukasz Fabiański Łukasz Fabiański West Ham United • GK GK,40,West Ham United,€0.9M
61.2 61.2,Asmir Begović Asmir Begović Everton • GK GK,37,Everton,€0.8M
62.6 62.6,Aaron Cresswell Aaron Cresswell West Ham United • D (L) D (L),35,West Ham United,€0.8M
52.2 56.8,Edmond-Paris Maghoma Edmond-Paris Maghoma Brentford • M (C) M (C),24,Brentford,€0.8M
44.4 45.2,Brandon Austin Brandon Austin Tottenham • GK GK,26,Tottenham,€0.8M
58.4 58.4,Joe Lumley Joe Lumley Southampton • GK GK,30,Southampton,€0.7M
60.5 60.5,John Ruddy John Ruddy Newcastle Utd. • GK GK,38,Newcastle Utd.,€0.7M
59.8 59.8,Séamus Coleman Séamus Coleman Everton • D (R) D (R),36,Everton,€0.7M
43.8 63.6,Harry Amass Harry Amass Man Utd • D (L) D (L),18,Man Utd,€0.7M
52.8 54.8,Jakub Stolarczyk Jakub Stolarczyk Leicester • GK GK,24,Leicester,€0.7M
52.4 52.4,Fraser Forster Fraser Forster Tottenham • GK GK,37,Tottenham,€0.7M
58.1 58.1,Joel Ward Joel Ward C. Palace • D (R) D (R),35,C. Palace,€0.7M
54.1 68.8,Harvey Davies Harvey Davies Liverpool • GK GK,21,Liverpool,€0.6M
52.2 52.2,Alex McCarthy Alex McCarthy Southampton • GK GK,35,Southampton,€0.6M
51.1 51.1,Tom King Tom King Wolverhampton • GK GK,30,Wolverhampton,€0.6M
52.4 60.6,Lucas Bergström Lucas Bergström Chelsea • GK GK,22,Chelsea,€0.6M
